Symbol,Date,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
DLF,2019-04-26,2019-05-30,178.05,179.05,174.4,175.9,176.2,175.9,6875,31488.61,48053200,3434600,174.3
DLF,2019-04-30,2019-05-30,175.65,175.9,168.45,173.95,173.1,173.95,7129,31949.43,47793200,-260000,172.75
DLF,2019-05-02,2019-05-30,172.5,177.0,171.0,173.05,173.0,173.05,4796,21754.04,47964800,171600,171.85
DLF,2019-05-03,2019-05-30,174.4,180.25,172.95,178.95,179.0,178.95,5694,26315.38,47340800,-624000,177.95
DLF,2019-05-06,2019-05-30,176.0,178.4,173.9,174.65,174.4,174.65,3839,17578.07,46628400,-712400,173.9
DLF,2019-05-07,2019-05-30,176.45,177.0,169.2,170.45,171.2,170.45,4942,22214.06,45689800,-938600,169.6
DLF,2019-05-08,2019-05-30,170.2,171.3,166.55,170.05,169.1,170.05,4371,19218.22,45403800,-286000,168.95
DLF,2019-05-09,2019-05-30,169.15,171.7,167.2,168.95,168.95,168.95,3207,14118.33,45156800,-247000,167.8
DLF,2019-05-10,2019-05-30,170.0,173.75,167.0,167.5,167.1,167.5,5013,22153.93,45416800,260000,166.5
DLF,2019-05-13,2019-05-30,166.75,168.35,163.5,164.8,164.0,164.8,4692,20302.3,44829200,-587600,164.35
DLF,2019-05-14,2019-05-30,164.2,168.65,161.25,167.05,167.4,167.05,4371,18813.2,44894200,65000,166.25
DLF,2019-05-15,2019-05-30,166.65,167.65,161.4,162.25,162.45,162.25,4169,17751.62,45887400,993200,161.45
DLF,2019-05-16,2019-05-30,162.9,164.4,158.8,163.6,163.05,163.6,6553,27610.34,45731400,-156000,162.9
DLF,2019-05-17,2019-05-30,163.75,167.75,162.1,164.85,164.6,164.85,4972,21281.12,45367400,-364000,164.45
DLF,2019-05-20,2019-05-30,170.85,175.55,168.85,174.45,174.0,174.45,7917,35529.81,46654400,1287000,173.75
DLF,2019-05-21,2019-05-30,175.1,176.85,170.2,171.85,171.6,171.85,7250,32621.23,46241000,-413400,171.5
DLF,2019-05-22,2019-05-30,175.9,181.5,172.4,174.35,174.6,174.35,14956,68601.33,46251400,10400,173.9
DLF,2019-05-23,2019-05-30,177.9,185.1,174.5,181.05,181.35,181.05,20798,97246.84,43771000,-2480400,180.7
DLF,2019-05-24,2019-05-30,182.3,193.6,182.3,191.75,191.35,191.75,16934,83024.7,41345200,-2425800,191.65
DLF,2019-05-27,2019-05-30,191.55,200.2,190.2,196.9,196.2,196.9,14732,75017.19,30797000,-10548200,197.0
DLF,2019-05-28,2019-05-30,197.45,197.5,191.55,195.65,195.45,195.65,9722,49251.05,20930000,-9867000,195.4
DLF,2019-05-29,2019-05-30,195.65,197.3,192.05,193.7,193.35,193.7,8417,42560.97,11273600,-9656400,193.7
DLF,2019-05-30,2019-05-30,194.65,196.5,190.65,194.4,194.75,194.7,8400,42279.53,4035200,-7238400,194.7
